Negotiation ID,Final Price,State,Buyer ID,Supplier ID
1,800,accepted,buyer_4,supplier_0
2,600,accepted,buyer_0,supplier_0
3,750,accepted,buyer_3,supplier_0
4,750,processing,buyer_3,supplier_1
5,800,accepted,buyer_4,supplier_1
6,837.5,accepted,buyer_5,supplier_1
7,700,accepted,buyer_2,supplier_2
8,650,accepted,buyer_1,supplier_2
9,700,accepted,buyer_2,supplier_2
10,700,processing,buyer_2,supplier_3
11,700,processing,buyer_2,supplier_3
12,800,accepted,buyer_4,supplier_3
13,800,accepted,buyer_4,supplier_4
14,800,accepted,buyer_4,supplier_4
15,750,accepted,buyer_3,supplier_4
16,600,processing,buyer_0,supplier_5
17,650,processing,buyer_1,supplier_5
18,650,processing,buyer_1,supplier_5
19,700,accepted,buyer_2,supplier_6
20,750,accepted,buyer_3,supplier_6
21,750,accepted,buyer_3,supplier_6
22,800,processing,buyer_4,supplier_7
23,850,accepted,buyer_5,supplier_7
24,750,processing,buyer_3,supplier_7
25,750,accepted,buyer_3,supplier_8
26,600,processing,buyer_0,supplier_8
27,650,processing,buyer_1,supplier_8
28,700,processing,buyer_2,supplier_9
29,600,processing,buyer_0,supplier_9
30,650,processing,buyer_1,supplier_9
