Negotiation ID,Final Price,State,Buyer ID,Supplier ID
1,600,accepted,buyer_0,supplier_0
2,950,accepted,buyer_7,supplier_0
3,950,accepted,buyer_7,supplier_0
4,950,processing,buyer_7,supplier_1
5,950,processing,buyer_7,supplier_1
6,950,processing,buyer_7,supplier_1
7,950,accepted,buyer_7,supplier_2
8,950,accepted,buyer_7,supplier_2
9,950,accepted,buyer_7,supplier_2
10,950,processing,buyer_7,supplier_3
11,950,processing,buyer_7,supplier_3
12,950,processing,buyer_7,supplier_3
13,950,accepted,buyer_7,supplier_4
14,950,accepted,buyer_7,supplier_4
15,950,accepted,buyer_7,supplier_4
16,950,processing,buyer_7,supplier_5
17,950,processing,buyer_7,supplier_5
18,950,processing,buyer_7,supplier_5
19,950,accepted,buyer_7,supplier_6
20,950,accepted,buyer_7,supplier_6
21,950,accepted,buyer_7,supplier_6
22,950,processing,buyer_7,supplier_7
23,936.640625,accepted,buyer_7,supplier_7
24,936.640625,accepted,buyer_7,supplier_7
25,950,accepted,buyer_7,supplier_8
26,950,accepted,buyer_7,supplier_8
27,950,accepted,buyer_7,supplier_8
28,950,processing,buyer_7,supplier_9
29,950,processing,buyer_7,supplier_9
30,950,processing,buyer_7,supplier_9
